year,district,khoroo,building_id,area_m2,floors,DateTime,OutdoorTemp,Humidity,WindSpeed,Occupancy,Heating_kW,Electric_kW,kwh_t-1,kwh_t-24,Use_kW,day_of_week,hour,is_weekend,season,holiday,load_profile,month,day,heating_season,is_peak_hour,is_extreme_cold,total_load_kW
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 00:00:00,-20.0,55.0,4.3,183,1.72,0.38,,,2.1,2,0,0,өвөл,1,night,1,1,1,0,0,2.1
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 01:00:00,-21.7,55.0,3.2,268,1.97,0.38,2.1,,2.35,2,1,0,өвөл,1,night,1,1,1,0,0,2.35
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 02:00:00,-21.4,56.0,3.2,152,1.77,0.38,2.35,,2.15,2,2,0,өвөл,1,night,1,1,1,0,0,2.15
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 03:00:00,-21.7,55.0,3.3,260,1.82,0.38,2.15,,2.2,2,3,0,өвөл,1,night,1,1,1,0,0,2.2
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 04:00:00,-20.5,52.0,4.0,199,1.87,0.38,2.2,,2.25,2,4,0,өвөл,1,night,1,1,1,0,0,2.25
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 05:00:00,-19.3,50.0,4.9,228,1.69,0.38,2.25,,2.07,2,5,0,өвөл,1,night,1,1,1,0,0,2.07
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 06:00:00,-18.2,50.0,5.2,198,1.64,0.44,2.07,,2.08,2,6,0,өвөл,1,morning_peak,1,1,1,0,0,2.08
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 07:00:00,-18.9,52.0,5.3,267,1.62,0.5,2.08,,2.12,2,7,0,өвөл,1,morning_peak,1,1,1,0,0,2.12
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 08:00:00,-22.1,54.0,5.8,234,1.89,0.45,2.12,,2.35,2,8,0,өвөл,1,morning_peak,1,1,1,0,0,2.35
2020,БЗД,36-р хороо,BM-01,8420,12,2020-01-01 09:00:00,-21.6,56.0,6.0,212,1.8,0.44,2.35,,2.24,2,9,0,өвөл,1,morning_peak,1,1,1,0,0,2.24
